doc_id,asset_tag,source,field,language,extraction_date,preprocessing_version
DOC-00030,MOT-378-C,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00025,MIT-434-D,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00033,M-460-C,manual,descricao,pt,2026-05-05,1.1
DOC-00076,EM-324-B,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00070,M-580-C,ficha_cadastro,descricao,pt,2026-05-05,1.1
DOC-00006,EM-324-B,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00055,M-358-D,manual,descricao,mixed,2026-05-05,1.1
DOC-00056,M-255-B,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00099,M-547-A,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00067,EM-940-A,ficha_cadastro,descricao,pt,2026-05-05,1.1
DOC-00037,MIT-434-C,manual,descricao,pt,2026-05-05,1.1
DOC-00048,M-347-D,manual,descricao,pt,2026-05-05,1.1
DOC-00074,MIT-453-C,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00005,MOT-680-C,placa,especificacao_tecnica,en,2026-05-05,1.1
DOC-00090,M-195-D,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00093,EM-459-A,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00040,MIT-816-C,manual,descricao,pt,2026-05-05,1.1
DOC-00097,MIT-864-D,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00065,MOT-418-A,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00046,MOT-868-D,manual,descricao,pt,2026-05-05,1.1
DOC-00008,MOT-482-B,placa,especificacao_tecnica,pt,2026-05-05,1.1
DOC-00036,MOT-987-D,manual,descricao,pt,2026-05-05,1.1
DOC-00039,MOT-304-A,manual,descricao,pt,2026-05-05,1.1
DOC-00085,EM-917-B,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00061,M-193-B,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00009,M-878-B,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00057,EM-682-A,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00020,M-807-B,placa,especificacao_tecnica,en,2026-05-05,1.1
DOC-00041,M-692-A,manual,descricao,pt,2026-05-05,1.1
DOC-00095,MIT-777-D,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00042,M-706-B,manual,descricao,pt,2026-05-05,1.1
DOC-00080,M-750-D,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00082,M-953-D,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00083,EM-162-D,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00092,MOT-926-D,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00088,MOT-381-C,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00058,MOT-102-D,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00075,EM-688-C,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00073,MIT-697-B,ficha_cadastro,descricao,mixed,2026-05-05,1.1
DOC-00060,MIT-227-D,ficha_cadastro,descricao,pt,2026-05-05,1.1
DOC-00064,MIT-740-D,ficha_cadastro,descricao,pt,2026-05-05,1.1
DOC-00081,EM-604-A,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00023,EM-459-D,placa,especificacao_tecnica,en,2026-05-05,1.1
DOC-00010,M-353-B,placa,especificacao_tecnica,mixed,2026-05-05,1.1
DOC-00084,MOT-905-B,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00100,M-643-B,log_operacional,log_operacao,pt,2026-05-05,1.1
DOC-00098,M-570-A,log_operacional,log_operacao,pt,2026-05-05,1.1
